Wav_path,Txt_path,Prompts
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0159.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0159.txt,chip
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0062.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0062.txt,cork
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0135.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0135.txt,Etiquette mandates compliance with existing regulations
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0204.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0204.txt,lake
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0155.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0155.txt,fork
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0131.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0131.txt,rake
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0010.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0010.txt,wicker
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0033.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0033.txt,quart
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0126.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0126.txt,in
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0017.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0017.txt,sierra
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0051.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0051.txt,court
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0047.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0047.txt,It also provides for funds to clear slums and help colleges build dormitories
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0098.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0098.txt,two
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0091.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0091.txt,red
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0006.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0006.txt,nice
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0147.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0147.txt,up
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0073.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0073.txt,walk
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0211.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0211.txt,spark
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0083.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0083.txt,It was only
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0171.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0171.txt,hill
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0119.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0119.txt,He is definitely a notch above us
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0079.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0079.txt,snake
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0143.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0143.txt,victor
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0153.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0153.txt,He further proposed grants of an unspecified sum for experimental hospitals
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0036.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0036.txt,bird
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0078.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0078.txt,three
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0011.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0011.txt,night
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0201.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0201.txt,wicked
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0109.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0109.txt,four
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0200.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0200.txt,no
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0101.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0101.txt,I've kept it with me ever since
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0196.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0196.txt,side
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0104.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0104.txt,rock
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/wav_headMic/0128.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session3/prompts/0128.txt,rock
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0144.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0144.txt,I scrubbed the floors thoroughly
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0185.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0185.txt,My sister made the flowered curtains
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0134.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0134.txt,shear
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0052.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0052.txt,feed
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0084.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0084.txt,double
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0066.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0066.txt,bubble
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0044.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0044.txt,sheet
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0164.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0164.txt,sigh
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0095.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0095.txt,"When he speaks, his voice is just a bit cracked and quivers a trifle"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0013.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0013.txt,knew
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0173.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0173.txt,whoop
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0152.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0152.txt,This was easy for us
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0117.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0117.txt,chair
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0133.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0133.txt,bad
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0032.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0032.txt,fair
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0167.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0167.txt,She is thinner than I am
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0179.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0179.txt,He will allow a rare lie
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0089.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0089.txt,read
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0130.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0130.txt,gnaw
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0020.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0020.txt,tear
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0009.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0009.txt,goat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0195.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0195.txt,I was conscious all the time
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0045.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0045.txt,ship
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0140.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0140.txt,steer
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0063.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0063.txt,gadget
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0129.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0129.txt,bad
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0087.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0087.txt,storm
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0169.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0169.txt,toot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0111.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0111.txt,warm
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0172.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0172.txt,mere
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0024.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0024.txt,Twice each day he plays skillfully and with zest upon our little organ
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0038.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0038.txt,air
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0184.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0184.txt,The humidity is overwhelming there
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0203.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0203.txt,bat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0012.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0012.txt,"Well, he is nearly ninety-three years old"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0106.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0106.txt,beat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0113.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0113.txt,sip
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0124.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0124.txt,feed
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0189.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0189.txt,galore
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0182.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0182.txt,Are your grades higher or lower than Nancy's?
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0150.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0150.txt,The train approached the depot slowly
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0061.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0061.txt,dagger
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0127.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0127.txt,storm
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0031.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0031.txt,"Except in the winter when the ooze or snow or ice prevents,"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0058.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0058.txt,horn
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0162.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0162.txt,fate
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0039.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0039.txt,chair
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0136.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0136.txt,of
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0048.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0048.txt,park
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0156.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0156.txt,witch
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0068.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0068.txt,range
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0054.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0054.txt,bat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0112.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0112.txt,left
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0055.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0055.txt,Grandfather likes to be modern in his language
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0085.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0085.txt,trouble
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0190.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0190.txt,We gathered shells on the beach
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0097.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0097.txt,pat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0007.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0007.txt,stubble
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0146.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0146.txt,sigh
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0168.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0168.txt,Their house is grey and white
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0081.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0081.txt,torn
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0107.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0107.txt,The quick brown fox jumps over the lazy dog
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0145.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0145.txt,fruit
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0188.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0188.txt,One validated acts of school districts
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0099.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0099.txt,slip
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0161.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0161.txt,mut
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0049.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0049.txt,yes
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0059.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0059.txt,rake
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0174.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0174.txt,Why yell or worry over silly items?
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0071.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0071.txt,trait
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0102.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0102.txt,the
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0120.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0120.txt,meat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0057.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0057.txt,train
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0064.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0064.txt,one
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0067.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0067.txt,gnaw
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0041.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0041.txt,two
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0192.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0192.txt,knew
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0075.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0075.txt,"he dresses himself in an ancient black frock coat,"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0070.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0070.txt,giving those who observe him a pronounced feeling of the utmost respect
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0092.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0092.txt,swore
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0076.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0076.txt,born
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0151.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0151.txt,light
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0166.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0166.txt,boot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0050.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0050.txt,feet
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0110.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0110.txt,up
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0022.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0022.txt,for
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0148.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0148.txt,Nothing is as offensive as innocence
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0094.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0094.txt,feet
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0046.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0046.txt,bag
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0021.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0021.txt,trade
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0199.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0199.txt,tie
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0016.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0016.txt,swarm
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0030.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0030.txt,Except in the winter when the ozone or snow or ice prevents
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0026.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0026.txt,grow
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0086.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0086.txt,sticks
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0176.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0176.txt,dot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0165.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0165.txt,yes
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0163.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0163.txt,tear
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0082.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0082.txt,share
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0160.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0160.txt,coupe
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0138.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0138.txt,we're
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0118.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0118.txt,no
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0132.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0132.txt,pile
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0065.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0065.txt,rave
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0115.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0115.txt,yet he still thinks as swiftly as ever
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0005.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0005.txt,beta
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0141.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0141.txt,Jane may earn more money by working hard
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0193.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0193.txt,sigh
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0072.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0072.txt,he slowly takes a short walk in the open air each day
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0015.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0015.txt,alpha
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0170.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0170.txt,All the big baseball players get traded
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0035.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0035.txt,read
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/wav_headMic/0125.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session1/prompts/0125.txt,fee
